Major,Early Career Pay,Mid Career Pay
Construction Science & Management,75700,113700
Political Science/Public Law,60000,113700
Government & International Politics (GVIP),60700,113700
Aviation Flight Science (AFL),64200,113500
Engineering Technology (ET),67600,113400
Information Technology (IT) & Systems,72000,113300
Telecommunications Management,64700,112900
Agribusiness,58600,112700
Occupational Health and Safety,69000,112700
Physical Therapy,57500,112700
Industrial Safety,61100,112600
Music Production & Engineering,55100,112600
Business & Finance,63400,112400
Civil Engineering Technology (CET),67900,112400
Chemistry,60200,112300
French Literature,56300,112300
Operations & Supply Chain Management,71500,112200
Computer Information Systems,67100,111900
Marketing,60200,111900
Finance & Banking,65100,111800
Computer Programming,68800,111700
Marketing & Management,59700,111500
Supply Chain Management,71300,111500
Technical Communication,57200,111400
Cell Biology,58500,111300
Networks & Telecommunications,64600,111100
Electronics Engineering Technology (EET),74500,110800
Biopsychology,61600,110700
Applied Networking & Systems Administration,67500,110700
Geological Engineering,70500,110600
Business Management & Marketing,58700,110500
Spanish Literature,59500,110500
Real Estate Development,68900,110400
Electronics & Computer Technology,62300,110300
Industrial Technology (IT),74100,110300
Accounts,69100,110200
Construction Technology,73700,110200
Risk Management,65700,110200
Industrial Engineering Technology,77600,110100
Genetics,63200,110100
Government & Politics,62100,110000
Microbiology & Immunology,65400,110000
Digital Design,57800,109700
Hotel Management,58000,109700
Italian Language,58400,109700
Safety Management,69300,109700
Environmental Health & Safety,66500,109600
Marketing Communication,54700,109600
Political Science,59800,109600
Welding Engineering Technology,83700,109600
Industrial Psychology,58100,109500
Pharmaceutical Sciences (PS),62000,109200
Marketing & Communications,58400,109200
Network Security,69900,109100
Industrial Design (ID),64600,109000
Sales & Marketing,62800,109000
Environmental Science & Policy,58800,108800
Organizational Behavior,65200,108800
Business Data Analysis,74800,108700
Physics & Astronomy,67800,108600
Philosophy,62700,108400
Accounting,64200,108300
German Language,60600,108300
Comparative Literature,54500,108300
Architecture,60000,108100
Advertising Design,63200,108000
Accounting & Computer Systems,77800,107500
Financial Accounting,65600,107500
Risk Management & Insurance,69700,107400
Urban Planning,57600,107300
Accounting & Management,63900,107000
Cell & Molecular Biology,59800,107000
Manufacturing Management,73200,107000
Computer & Network Administration,65700,106800
Occupational Therapy (OT),63500,106700
Manufacturing Engineering Technology,76800,106500
Advertising,55100,106400
Project Management,66500,106400
Organizational Psychology,58100,106300
Insurance,66100,106200
Labor Studies,55300,106000
Applied Computer Science,76500,105900
Geology,57800,105900
Marketing Management,60900,105900
Design,62400,105800
Radiation Therapy,78100,105800
Strategic Communication,54900,105800
Transportation & Logistics Management,67700,105800
Electronic Systems Technology (EST),89500,105600
Latin American Studies,54900,105600
Agronomy,56400,105300
Environmental Health,58500,105300
Applied Technology,67500,105200
Accounting Information Systems,73000,104800
Crop Science,56400,104800
Microbiology,56800,104800
Speech & Drama,47100,104700
Entrepreneurship,63600,104300
Corporate Communications,57300,104300
Environmental Design,55600,104200
Advertising & Marketing Communications,56800,104100
Digital Media Design,53800,104000
Hotel Administration,79700,104000
Math & Science,65900,104000
Aeronautics,72600,103900
International Studies,58100,103800
Urban & Regional Planning,61700,103800
Computer Graphics Technology (CGT),59400,103700
Food Science,62500,103400
Global Business Management,65700,103100
Police Science,63400,103100
Product Design Engineering,75700,102900
Anthropology & English,53100,102700
Construction Engineering Technology,65700,102700
Sociology & Organizational Studies,63800,102500
Management & Organization,79500,102400
Logistics,67900,102300
Information Systems Security,66200,102100
International Affairs,60300,102100
Biological Sciences,58600,101900
Personal Financial Planning,62700,101900
Environmental Science,57800,101600
Theatre & Drama Studies,54800,101400
Cinema Studies,54800,101200
Land Surveying,59400,101200
Business Communication,60000,100800
German Studies,58600,100600
New Media Design,64900,100600
International Trade & Business,62800,100300
Technology,64900,100300
Textile & Apparel Studies,55000,100300
Advertising & Promotion,55100,100200
City & Regional Planning,61600,100200
Advertising & Marketing,57000,99800
Aviation Maintenance Technology,59000,99700
English Literature,55600,99700
Urban Studies,59500,99700
Agricultural Science,55100,99700
Management,59800,99600
History & Politics,56500,99400
Human Biology,59500,99400
Automotive Technology,57300,99300
Fashion Design,55500,99300
Magazine Journalism,56400,99300
Textile Technology,62300,99200
American History (United States),60700,99200
Architectural Technology,57400,99200
Organizational Development,62300,99100
Business Administration,62100,99000
Interior Architecture,55300,99000
Journalism & Mass Communication,54500,99000
Business Administration & Accounting,61600,98900
Environmental & Natural Resource Economics,60600,98800
Neuroscience,60900,98700
Business Management,60800,98600
Computer Aided Drafting & Design (CADD),58000,98400
Drama,57300,98400
Bachelor in Science Nursing,78500,98300
Linguistics,60800,98200
Communication,56900,98100
Nursing Science,77900,98100
Writing,51400,98100
French Language,57800,98000
Integrated Marketing Communications,55100,97900
Architectural Design,52000,97600
Logistics Management,67900,97500
Natural Sciences,51600,97500
Public Affairs,61100,97500
Journalism,54200,97400
Technical Management,74800,97400
General Science,58300,97400
French Studies,60700,97300
Marketing & Mass Communications,56500,97300
Biology & Chemistry,57300,97300
Digital Media,53200,97200
Professional & Technical Writing,57300,96900
Public Relations & Communication,53200,96900
Textile Design,58400,96800
Finance & Marketing,69100,96700
Law,61600,96700
Nursing,75300,96600
Organizational Communication,54100,96600
Architectural Studies,52500,96500
Global Business,65400,96500
Hydrology,53000,96500
Literature,54800,96500
Agriculture,55100,96500
Physiology,57100,96300
Music Technology,53000,96200
Pre-Medicine,59100,96200
Web & Digital Media Development,62700,96200
General Business,58000,96100
Public Relations (PR),53500,96100
History & Political Science,58900,96100
Administration of Justice,52800,96000
Biology,55300,96000
Web Design & Development,63000,96000
Personnel Management,59600,95900
Computer Animation,54800,95800
Quality Management,73300,95800
Retail & Consumer Science,61600,95800
Environmental Management,59100,95700
History,56200,95600
Environmental Biology,52100,95500
Media Studies,58800,95500
Apparel & Textile Manufacture,55800,95400
Philosophy & Religion,51200,95400
Publishing,54000,95300
Environmental Geography,58300,95200
Communication Studies & Journalism,52700,95100
Environmental Studies,57000,95000
Health Management,52000,95000
Architectural Engineering Technology,55400,94900
Agribusiness Management,60400,94700
Interpersonal Communications,51500,94600
Retail Merchandising,60900,94600
Diagnostic Medical Sonography,74100,94400
Fashion,56700,94400
Network Administration,56000,94400
General & Strategic Management,57300,94400
Accounting & Business,61000,94300
Dental Hygiene,83400,94000
Electronic & Computer Technology,76400,94000
Journalism & Electronic Media,53100,93900
Geographic Information Systems (GIS),58000,93800
Toxicology,54900,93800
Atmospheric Science,57300,93600
Retailing,57300,93200
Speech Communication,54500,93200
Visual Effects & Motion Graphics,55900,93200
Ancient History,53600,93100
Broadcast & Cinematic Arts,49400,93000
Sports Management,53000,93000
Bachelor of Science in Nursing,74300,92900
Landscape Architecture,60600,92900
Professional Studies,49900,92600
Diagnostic Medical Ultrasound,78900,92500
Entomology,51300,92500
Foreign Languages,56200,92500
Forestry,54000,92200
Workforce Education & Development,69100,92200
Leadership,55600,92100
Geography,58300,92100
Global Studies,60400,92000
Media Arts,52800,92000
Business Leadership,57600,92000
English Language,52800,91800
Agricultural Business,61300,91700
American Sign Language Interpreting,52700,91600
Computer Aided Design (CAD),56400,91600
Digital Arts,52000,91600
Human Resources Management (HRM),56100,91600
Merchandising Management,55800,91600
Music Performance,53400,91500
Liberal Arts,54300,91400
Public Administration,55000,91400
Geosciences,57800,91400
Retail Management,62300,91300
Radio/Television & Film Production,52800,91200
Fashion Merchandising,55200,91000
Mass Communication,52400,91000
Travel Industry Management,60600,91000
Allied Health,51300,90700
Electronic Media,52200,90700
Organizational Leadership & Supervision,56200,90700
Homeland Security,57100,90500
Arts Management,46400,90500
Spanish Language,56300,90500
3D Animation,58400,90400
Business Management & Administration,60700,90300
Marine Biology,49800,90300
Nuclear Medicine Technology,70300,90300
Religious Studies,53000,90300
English Language & Literature,54200,90200
Information & Communication Technology,55500,90100
Museum Studies,44200,90100
Business Technology,64400,90000
Radiologic Science,66000,90000
Organizational Leadership,58300,89900
Animation,52400,89900
Art History,55300,89800
Management & Leadership,60900,89800
Meteorology,54400,89800
Film Production,51800,89600
Musicology,49500,89600
Technical Writing,62400,89600
Administrative Management,60900,89500
Forestry Management,56100,89500
Automotive Technology & Service Management,63200,89400
Historic Preservation,48900,89200
Multimedia,52700,89000
Fashion Marketing & Management,56500,89000
Organizational Management,57200,88900
Apparel Merchandising,56700,88800
Earth Science,58700,88800
Ethnic Studies,55900,88800
German Language & Literature,59400,88600
Radiology,63800,88600
Zoology,48200,88600
Human Nutrition,57700,88500
Agricultural Communication,52400,88400
Audio Engineering,55500,88400
Geomatics,59400,88400
Broadcast Journalism,51100,88300
Cytotechnology,69100,88100
Marketing & Advertising,57000,88100
Applied Management,50600,88000
Social Studies,56600,88000
Communication Design,60600,87900
Romance Languages,59100,87900
Sociology & Anthropology,53300,87800
Creative Writing,52800,87700
Human Resources (HR),55500,87700
Law Enforcement,55200,87400
Criminal Justice Administration,53700,87300
Marine Science,53600,87200
Training and Development,61300,87200
Advertising & Graphic Design,55100,87100
Technical & Scientific Communication,59200,87100
Natural Resources,56000,86800
Radiologic Technology,64000,86600
Sports Administration,52500,86500
Broadcast Communication,48700,86400
Cultural Anthropology,56400,86300
Human Resources Development,57000,86100
